ARTWORK,DATE,SOURCE TITLE,SOURCE IMAGE
"<src: https://static.jojowiki.com/images/thumb/7/7b/latest/20230101214917/Mummy_Shonen_Thunder.png/774px-Mummy_Shonen_Thunder.png?20230101214917
alt: File:Mummy Shonen Thunder.png>
",1970~,"""Shonen Thunder Issue #4"" (Fanzine)","<src: https://static.jojowiki.com/images/thumb/5/5a/latest/20230101215122/Shonen_Thunder_Issue_4_2.jpg/800px-Shonen_Thunder_Issue_4_2.jpg?20230101215122
alt: File:Shonen Thunder Issue 4 2.jpg>
<src: https://static.jojowiki.com/images/thumb/0/07/latest/20230101215121/Shonen_Thunder_Issue_4.jpg/450px-Shonen_Thunder_Issue_4.jpg?20230101215121
alt: File:Shonen Thunder Issue 4.jpg>
"
"<src: https://static.jojowiki.com/images/d/d9/latest/20200412091310/The_Bottle.png?20200412091310
alt: File:The Bottle.png>
","January 2, 1978",Weekly Shonen Jump 1978 Issue #1 (Inside Illustration),"<src: https://static.jojowiki.com/images/thumb/7/79/latest/20201102174601/Weekly_Jump_January_2_1978.jpg/416px-Weekly_Jump_January_2_1978.jpg?20201102174601
alt: File:Weekly Jump January 2 1978.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/7/77/latest/20210916025925/BT_WSJ_1982_Issue_45_Illustration.png/628px-BT_WSJ_1982_Issue_45_Illustration.png?20210916025925
alt: File:BT WSJ 1982 Issue 45 Illustration.png>
","October 25, 1982",Weekly Shonen Jump 1982 Issue #45 (Inside Illustration),"<src: https://static.jojowiki.com/images/thumb/a/a8/latest/20210919034324/Weekly_Shonen_Jump_October_25_1982.png/425px-Weekly_Shonen_Jump_October_25_1982.png?20210919034324
alt: File:Weekly Shonen Jump October 25 1982.png>
"
"<src: https://static.jojowiki.com/images/9/9c/latest/20220614013639/BT_WSJ_1982_No_46_Comic_Revolution.png?20220614013639
alt: File:BT WSJ 1982 No 46 Comic Revolution.png>
","November 1, 1982",Weekly Shonen Jump 1982 Issue #46 (Inside Illustration),"<src: https://static.jojowiki.com/images/thumb/2/26/latest/20220614013357/WSJ_1982_No_46_Comic_Revolution.png/371px-WSJ_1982_No_46_Comic_Revolution.png?20220614013357
alt: File:WSJ 1982 No 46 Comic Revolution.png>
<src: https://static.jojowiki.com/images/thumb/b/b0/latest/20220614013229/Weekly_Shonen_Jump_1982_Issue_46.jpg/430px-Weekly_Shonen_Jump_1982_Issue_46.jpg?20220614013229
alt: File:Weekly Shonen Jump 1982 Issue 46.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/c/cb/latest/20210916030837/CSBT_Series_Preview_WSJ.png/448px-CSBT_Series_Preview_WSJ.png?20210916030837
alt: File:CSBT Series Preview WSJ.png>
<src: https://static.jojowiki.com/images/thumb/5/5c/latest/20210820191723/WSJ_BT_announcement.jpg/800px-WSJ_BT_announcement.jpg?20210820191723
alt: File:WSJ BT announcement.jpg>
","September 26, 1983",Weekly Shonen Jump 1983 Issue #41 (Next Issue Illustration),"<src: https://static.jojowiki.com/images/thumb/6/6e/latest/20211103200252/B.T._WSJ-41_1983.jpg/793px-B.T._WSJ-41_1983.jpg?20211103200252
alt: File:B.T. WSJ-41 1983.jpg>
<src: https://static.jojowiki.com/images/thumb/a/aa/latest/20211103200252/Weekly_Jump_September_26_1983.png/419px-Weekly_Jump_September_26_1983.png?20211103200252
alt: File:Weekly Jump September 26 1983.png>
"
"<src: https://static.jojowiki.com/images/2/2d/latest/20211103201210/WSJ_BT_cover.jpg?20211103201210
alt: File:WSJ BT cover.jpg>
","October 3, 1983",Weekly Shonen Jump 1983 Issue #42 (Cover),"<src: https://static.jojowiki.com/images/thumb/d/d1/latest/20210219190456/Weekly_Jump_October_3_1983.jpg/420px-Weekly_Jump_October_3_1983.jpg?20210219190456
alt: File:Weekly Jump October 3 1983.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/f/fc/latest/20210916032349/BT_WSJ_contents.png/307px-BT_WSJ_contents.png?20210916032349
alt: File:BT WSJ contents.png>
","October 3, 1983",Weekly Shonen Jump 1983 Issue #42 (Table of Contents Illustration),"<src: https://static.jojowiki.com/images/thumb/a/ad/latest/20211104051857/WSJ_1983-42_Contents.jpg/412px-WSJ_1983-42_Contents.jpg?20211104051857
alt: File:WSJ 1983-42 Contents.jpg>
<src: https://static.jojowiki.com/images/thumb/d/d1/latest/20210219190456/Weekly_Jump_October_3_1983.jpg/420px-Weekly_Jump_October_3_1983.jpg?20210219190456
alt: File:Weekly Jump October 3 1983.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/a/a3/latest/20191015214459/WSJ1983No42T.png/407px-WSJ1983No42T.png?20191015214459
alt: File:WSJ1983No42T.png>
","October 3, 1983",Weekly Shonen Jump 1983 Issue #42 (Title Page),"<src: https://static.jojowiki.com/images/thumb/7/7a/latest/20210915030344/Cool_Shock_B.T._Ch.1.jpg/407px-Cool_Shock_B.T._Ch.1.jpg?20210915030344
alt: File:Cool Shock B.T. Ch.1.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/d/d8/latest/20220526043451/CSBT_Color_Page_Pg._1_Clean.jpg/415px-CSBT_Color_Page_Pg._1_Clean.jpg?20220526043451
alt: File:CSBT Color Page Pg. 1 Clean.jpg>
","October 3, 1983",Weekly Shonen Jump 1983 Issue #42 (Color Page),"<src: https://static.jojowiki.com/images/thumb/c/c9/latest/20210915034254/WSJ1983CSBT_Color_1.png/401px-WSJ1983CSBT_Color_1.png?20210915034254
alt: File:WSJ1983CSBT Color 1.png>
"
"<src: https://static.jojowiki.com/images/thumb/3/3d/latest/20210915025258/WSJ1983CSBT_Color_2.png/399px-WSJ1983CSBT_Color_2.png?20210915025258
alt: File:WSJ1983CSBT Color 2.png>
","October 3, 1983",Weekly Shonen Jump 1983 Issue #42 (Color Page),"<src: https://static.jojowiki.com/images/thumb/3/3d/latest/20210915025258/WSJ1983CSBT_Color_2.png/399px-WSJ1983CSBT_Color_2.png?20210915025258
alt: File:WSJ1983CSBT Color 2.png>
"
"<src: https://static.jojowiki.com/images/thumb/8/8b/latest/20210915031511/WSJ1983CSBT_Color_3.jpg/397px-WSJ1983CSBT_Color_3.jpg?20210915031511
alt: File:WSJ1983CSBT Color 3.jpg>
","October 3, 1983",Weekly Shonen Jump 1983 Issue #42 (Color Page),"<src: https://static.jojowiki.com/images/thumb/8/8b/latest/20210915031511/WSJ1983CSBT_Color_3.jpg/397px-WSJ1983CSBT_Color_3.jpg?20210915031511
alt: File:WSJ1983CSBT Color 3.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/3/38/latest/20210111001456/CSBT_1983.png/374px-CSBT_1983.png?20210111001456
alt: File:CSBT 1983.png>
","October 10, 1983",Weekly Shonen Jump 1983 Issue #43 (Cover),"<src: https://static.jojowiki.com/images/thumb/f/f7/latest/20211103175318/Weekly_Jump_October_10%2C_1983.jpg/425px-Weekly_Jump_October_10%2C_1983.jpg?20211103175318
alt: File:Weekly Jump October 10, 1983.jpg>
"
"<src: https://static.jojowiki.com/images/e/e4/latest/20220403071824/CoolShockBT_Spine_Volume.png?20220403071824
alt: File:CoolShockBT Spine Volume.png>
","October 1, 1984",Jump Comics Cool Shock B.T. Volume 1 (Spine Illustration),"<src: https://static.jojowiki.com/images/thumb/0/04/latest/20210922055635/CoolShockCoverSpine.png/438px-CoolShockCoverSpine.png?20210922055635
alt: File:CoolShockCoverSpine.png>
"
"<src: https://static.jojowiki.com/images/thumb/0/06/latest/20220325202129/Baoh_WSJ-44_1984.jpg/686px-Baoh_WSJ-44_1984.jpg?20220325202129
alt: File:Baoh WSJ-44 1984.jpg>
<src: https://static.jojowiki.com/images/thumb/6/69/latest/20220325201559/Baoh_WSJ-44_1984-2.jpg/672px-Baoh_WSJ-44_1984-2.jpg?20220325201559
alt: File:Baoh WSJ-44 1984-2.jpg>
","October 15, 1984",Weekly Shonen Jump 1984 Issue #44 (Next Issue Illustration),"<src: https://static.jojowiki.com/images/thumb/5/58/latest/20220325150129/Weekly_Jump_October_15_1984.jpg/424px-Weekly_Jump_October_15_1984.jpg?20220325150129
alt: File:Weekly Jump October 15 1984.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/e/e4/latest/20200116204307/WSJ1984No45C.jpg/420px-WSJ1984No45C.jpg?20200116204307
alt: File:WSJ1984No45C.jpg>
","October 22, 1984",Weekly Shonen Jump 1984 Issue #45 (Cover),"<src: https://static.jojowiki.com/images/thumb/e/e4/latest/20200116204307/WSJ1984No45C.jpg/420px-WSJ1984No45C.jpg?20200116204307
alt: File:WSJ1984No45C.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/7/78/latest/20210903024216/Baoh_page_1_magazine.jpg/402px-Baoh_page_1_magazine.jpg?20210903024216
alt: File:Baoh page 1 magazine.jpg>
","October 22, 1984",Weekly Shonen Jump 1984 Issue #45 (Color Page),"<src: https://static.jojowiki.com/images/thumb/7/78/latest/20210903024216/Baoh_page_1_magazine.jpg/402px-Baoh_page_1_magazine.jpg?20210903024216
alt: File:Baoh page 1 magazine.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/f/fe/latest/20210903035151/WSJ1984No45T.png/800px-WSJ1984No45T.png?20210903035151
alt: File:WSJ1984No45T.png>
","October 22, 1984",Weekly Shonen Jump 1984 Issue #45 (Title Page),"<src: https://static.jojowiki.com/images/thumb/f/fe/latest/20210903035151/WSJ1984No45T.png/800px-WSJ1984No45T.png?20210903035151
alt: File:WSJ1984No45T.png>
"
"<src: https://static.jojowiki.com/images/thumb/d/d6/latest/20210915041203/Baoh_page_4_magazine.jpg/400px-Baoh_page_4_magazine.jpg?20210915041203
alt: File:Baoh page 4 magazine.jpg>
","October 22, 1984",Weekly Shonen Jump 1984 Issue #45 (Color Page),"<src: https://static.jojowiki.com/images/thumb/d/d6/latest/20210915041203/Baoh_page_4_magazine.jpg/400px-Baoh_page_4_magazine.jpg?20210915041203
alt: File:Baoh page 4 magazine.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/c/ce/latest/20211007043745/Baoh_WSJ_vol46_%282%29.jpg/471px-Baoh_WSJ_vol46_%282%29.jpg?20211007043745
alt: File:Baoh WSJ vol46 (2).jpg>
","October 22, 1984",Weekly Shonen Jump 1984 Issue #45 (Next Issue Illustration),"<src: https://static.jojowiki.com/images/thumb/9/9a/latest/20210916020256/Baoh_WSJ_vol46_announcement.jpg/798px-Baoh_WSJ_vol46_announcement.jpg?20210916020256
alt: File:Baoh WSJ vol46 announcement.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/e/ef/latest/20221031212359/WSJ_1984_No.46_Next_Issue_%282%29_Baoh.png/396px-WSJ_1984_No.46_Next_Issue_%282%29_Baoh.png?20221031212359
alt: File:WSJ 1984 No.46 Next Issue (2) Baoh.png>
","October 22, 1984",Weekly Shonen Jump 1984 Issue #45 (Next Issue Illustration),"<src: https://static.jojowiki.com/images/thumb/d/d1/latest/20221031211840/WSJ_1984_No.46_Next_Issue_%282%29.png/794px-WSJ_1984_No.46_Next_Issue_%282%29.png?20221031211840
alt: File:WSJ 1984 No.46 Next Issue (2).png>
"
"<src: https://static.jojowiki.com/images/thumb/7/7d/latest/20200116204530/WSJ1985WinterSpecialC.png/443px-WSJ1985WinterSpecialC.png?20200116204530
alt: File:WSJ1985WinterSpecialC.png>
",Autumn 1985,Weekly Shonen Jump 1985 Autumn Special (Cover),"<src: https://static.jojowiki.com/images/5/52/latest/20201102200853/WSJAutumnSpecial.jpg?20201102200853
alt: File:WSJAutumnSpecial.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/8/80/latest/20220323033943/Gorgeous_Irene_WSJ_Contents.png/553px-Gorgeous_Irene_WSJ_Contents.png?20220323033943
alt: File:Gorgeous Irene WSJ Contents.png>
",Autumn 1985,Weekly Shonen Jump 1985 Autumn Special (Table of Contents Illustration),"<src: https://static.jojowiki.com/images/thumb/9/97/latest/20211105040411/WSJ_Autumn_Special_1985_Contents.jpg/416px-WSJ_Autumn_Special_1985_Contents.jpg?20211105040411
alt: File:WSJ Autumn Special 1985 Contents.jpg>
<src: https://static.jojowiki.com/images/5/52/latest/20201102200853/WSJAutumnSpecial.jpg?20201102200853
alt: File:WSJAutumnSpecial.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/d/d8/latest/20200116204428/WSJ1985WinterSpecialT.png/383px-WSJ1985WinterSpecialT.png?20200116204428
alt: File:WSJ1985WinterSpecialT.png>
",Autumn 1985,Weekly Shonen Jump 1985 Autumn Special (Title Page),"<src: https://static.jojowiki.com/images/thumb/1/11/latest/20200227062839/GorgeousIreneTitlePage.png/396px-GorgeousIreneTitlePage.png?20200227062839
alt: File:GorgeousIreneTitlePage.png>
"
"<src: https://static.jojowiki.com/images/thumb/e/e5/latest/20220826190848/BaohJumpComics1.png/415px-BaohJumpComics1.png?20220826190848
alt: File:BaohJumpComics1.png>
","September 1, 1985",Baoh the Visitor Jump Comics Volume 1 (Cover),"<src: https://static.jojowiki.com/images/thumb/0/07/latest/20201207180528/Baoh_Volume_001.png/409px-Baoh_Volume_001.png?20201207180528
alt: File:Baoh Volume 001.png>
"
